fleet,rego,model,vin,bodywork,livery,depot
341,6062AO,Mercedes Benz O500LE,WEB63422021000314,"Volgren ""CR228L""",PTV,Seaford
342,6100AO,Mercedes Benz O500LE,WEB63422021000311,"Volgren ""CR228L""",PTV,Seaford
343,4740AO,MAN 12.220,WMAA76ZZ06C00710,"Volgren ""CR228L""",PTV,Rosebud
344,6133AO,Mercedes Benz O500LE,WEB63422021000393,"Volgren ""CR228L""",PTV,Seaford
345,4453AO,Mercedes Benz O500LE,WEB63422021000389,"Volgren ""CR228L""",PTV,Pakenham
346,5006AO,Mercedes Benz O500LE,WEB63422021000394,"Volgren ""CR228L""",PTV,Rosebud
,,,,,,
,,,,,,
,,,,,,
350,6324AO,Volvo B7R,YV3R6G8296A112773,"Volgren Malaysia ""SC222""",,Seaford
351,6327AO,Volvo B7R,YV3R6G8266A112889,"Volgren Malaysia ""SC222""",,Hastings
,,,,,,
353,6326AO,Volvo B7R,YV3R6G8236A112381,"Volgren Malaysia ""SC222""",,Rosebud
354,6325AO,Volvo B7R,YV3R6G8246A112888,"Volgren Malaysia ""SC222""",,Rosebud
355,4462AO,Mercedes Benz O500LE,WEB63422021000470,"Volgren Malaysia ""CR228L""",PTV,Seaford
356,6490AO,Volvo B7R,YV3R6K7237A118655,"Volgren Malaysia ""SC222""",,Dandenong
357,6926AO,Mercedes Benz O500LE,WEB63442021000015,"Volgren Malaysia ""CR228L""",PTV,Seaford
358,6940AO,Volvo B7R,YV3R6K6268A124582,"Volgren Malaysia ""SC222""",,Rosebud
359,6930AO,Volvo B7R,YV3R6K6288A124583,"Volgren Malaysia ""SC222""",,Hastings
360,6971AO,Mercedes Benz O500LE,WEB63442021000045,"Volgren Malaysia ""CR228L""",PTV,Seaford
361,6991AO,Mercedes Benz O500LE,WEB63442021000046,"Volgren Malaysia ""CR228L""",PTV,Seaford
362,2639AO,Scania L113CRB,YS4LC4X2B01822602,Volgren,Ventura Blue Stripes,Dandenong
363,2544AO,Scania L113CRB,YS4LC4X2B01821014,Volgren,Ventura Blue Stripes,Dandenong
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
372,7316AO,Mercedes Benz O500LE,WEB63442021000039,"Volgren Malaysia ""CR228L""",PTV,Rosebud
373,6869AO,Mitsubishi Rosa,JMFBE649J0BB00083,Mitsubishi,,Croydon
374,6945AO,Volvo B12B,YV3R8L2238A124349,"Volgren ""C222TX""",,Hastings
375,6981AO,Volvo B12B,YV3R8L2268A127696,"Volgren ""C222TX""",,Hastings
376,7315AO,Iveco Metro C260,6F2BARB008DR00279,"Volgren ""CR228L""",PTV,Rosebud
377,7314AO,Iveco Metro C260,6F2BARB008DR00436,"Volgren ""CR228L""",PTV,Rosebud
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
383,7406AO,Volvo B7RLE,YV3R6M3238A125513,"Volgren ""CR228L""",PTV,Seaford
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
393,7706AO,Volvo B7RLE,YV3R6R621AA138453,"Volgren Malaysia ""CR228L""",PTV,Dandenong
394,7837AO,Volvo B7RLE,YV3R6R629AA138863,"Volgren Malaysia ""CR228L""",PTV,Pakenham
395,7738AO,Volvo B7RLE,YV3R6R620AA138864,"Volgren Malaysia ""CR228L""",PTV,Pakenham
396,7838AO,Volvo B7RLE,YV3R6R622AA138865,"Volgren Malaysia ""CR228L""",PTV,Dandenong
,,,,,,
,,,,,,
,,,,,,
400,7309AO,Scania K280IB,YS2K4X20001870755,"Higer ""A30""",B,Seaford
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
407,4407AO,Scania L94UB,YS4L4X20001833471,"Volgren ""CR224L""",PTV,Seaford
,,,,,,
,,,,,,
410,4410AO,Mercedes Benz OH1418,WDB382004WB153234,"Volgren ""SC221""",,Hastings
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
421,4421AO,Volvo B10M MkIV,YV31M2B1XWX048228,"Volgren ""SC221""",,Hastings
422,4422AO,Volvo B7R,YV3R6B5142A003601,"Volgren ""SC221""",,Hastings
,,,,,,
,,,,,,
,,,,,,
426,4426AO,Scania L94UB,YS4L4X20001835539,"Volgren ""CR224L""",PTV,Seaford
427,4427AO,Scania L94UB,YS4L4X20001840688,"Volgren ""CR224L""",PTV,Seaford
,,,,,,
,,,,,,
,,,,,,
431,4431AO,Volvo B7R,YV3R6B5172A003592,"Volgren Malaysia ""SC221""",,Rosebud
432,4432AO,Volvo B12R,YV3R2A315VA005807,"Austral Pacific ""Apollo""",,Hastings
433,4433AO,Scania L94UB,YS4L4X20001840694,"Volgren ""CR224L""",PTV,Seaford
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
439,4768AO,Scania L94UB,YS4L4X20001839485,"Volgren ""CR224L""",PTV,Seaford
440,4769AO,Scania L94UB,YS4L4X20001839493,"Volgren ""CR224L""",PTV,Seaford
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
459,4459AO,Volvo B7R,YV3R6B5162A003602,"Volgren ""SC221""",,Seaford
460,4460AO,Mercedes Benz OH1621,9BM382069XB212849,"Volgren ""SC221""",,Hastings
,,,,,,
,,,,,,
463,4463AO,Mercedes Benz OH1418,WDB382004WB165304,"Volgren ""SC221""",,Seaford
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
472,4472AO,Volvo B12R,YV3R2A316WA006482,"Volgren ""C221TX""",,Moorabbin
473,4473AO,Volvo B12R,YV3R2A318WA006483,"Volgren ""C221TX""",,Hastings
474,4474AO,Scania L113TRBL 14.5m,YS4LT6X2B01828551,"Volgren ""CR224L""",PTV,Rosebud
475,4475AO,Scania L94UB,YS4L4X20001831454,"Volgren ""CR221L""",,Rail
,,,,,,
,,,,,,
,,,,,,
479,4659AO,Volvo B12R,YV3R2A318TA005586,"Volgren ""C221TX""",,Moorabbin
,,,,,,
481,00862M,Bedford SB3,SB3/92411/M,"Comair ""CAV12""",,Heritage
,,,,,,
,,,,,,
484,4484AO,Scania L113TRBL 14.5m,YS4LT6X2B01828550,"Volgren ""CR221L""",,Rosebud
485,u/r,Bedford VAM3,9T622736M,Comair,,Heritage
486,u/r,Bedford VAM70,TRP2DZ0664691,Comair,,Heritage
487,u/r,Bedford SB5,NJM2BZ0J218435,"Comair ""CAV16""",,Heritage
488,u/r,Bedford VAM70,TRP2DZ0J262521,"Comair ""CAV19""",,Heritage
,,,,,,
,,,,,,
491,4434AO,Scania L94UB 14.5m,YS2L6X20001843715,"Volgren ""CR224L""",PTV,Rosebud
,,,,,,
,,,,,,
494,4430AO,Mercedes Benz OH1725,9BM3821862B321202,"Volgren ""SC222""",,Hastings
495,4435AO,Volvo B12BLE,YV3R8F8113A002503,"Volgren ""CR221L""",PTV,Dandenong
496,1352AO,Volvo B7R,YV3R6G7113A005947,"Volgren ""SC222""",,Rosebud
497,4409AO,Volvo B7R,YV3R6G7133A005948,"Volgren ""SC222""",,Rosebud
498,4437AO,Volvo B7R,YV3R6G7173A006214,"Volgren ""SC222""",,Hastings
499,4464AO,Volvo B7R,YV3R6G7193A006215,"Volgren ""SC222""",,Croydon
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
